#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
99,Luis Severino,ATH,31,31,177,754,9,10,15,0,0,,173,91,85,24,,9,152,58,7.73,2.94,4.3,1.31
100,Kyle Gibson,,29,29,164,712,9,10,14,0,0,,167,86,79,21,,6,138,60,7.58,3.32,4.36,1.39
101,Merrill Kelly,ARI,26,26,149,629,9,8,14,0,0,,146,72,67,20,,4,131,46,7.89,2.78,4.03,1.29
102,Bowden Francis,TOR,26,36,157,655,11,9,12,0,1,,144,78,72,24,,10,145,43,8.3,2.46,4.13,1.19
103,Mitchell Parker,WSN,26,38,150,645,8,9,12,0,1,,146,77,71,20,,3,132,56,7.97,3.35,4.29,1.35
104,Ronel Blanco,HOU,28,28,159,675,10,9,14,0,0,,145,79,73,24,,4,158,66,8.93,3.74,4.15,1.32
105,Shane Bieber,CLE,15,25,96,401,6,5,8,0,1,,92,42,39,11,,3,93,25,8.68,2.29,3.61,1.21
106,Clayton Kershaw,,16,16,85,355,6,5,9,0,0,,81,38,35,10,,3,79,23,8.34,2.4,3.72,1.21
107,Jameson Taillon,CHC,29,29,165,695,10,10,14,0,0,,168,85,79,25,,5,132,40,7.18,2.17,4.31,1.26
108,Frankie Montas,NYM,28,28,147,634,9,9,13,0,0,,140,77,71,20,,6,140,56,8.58,3.43,4.35,1.33
109,Luis Garcia,HOU,19,33,121,505,9,7,9,0,1,,112,57,54,17,,3,119,38,8.89,2.84,4,1.24
110,Jose Quintana,,29,29,162,707,9,10,14,0,0,,164,84,78,20,,6,130,63,7.21,3.52,4.31,1.41
111,Jake Irvin,WSN,29,29,163,692,9,11,14,0,0,,161,87,80,24,,8,135,52,7.47,2.86,4.44,1.3
112,Andrew Heaney,,29,29,153,654,9,10,13,0,0,,148,83,77,24,,10,148,48,8.68,2.81,4.5,1.28
113,Shane Baz,TBR,24,41,144,611,8,8,11,0,1,,133,72,67,19,,7,134,53,8.41,3.31,4.18,1.3
114,Tobias Myers,MIL,24,24,131,560,8,8,12,0,0,,127,67,62,20,,5,119,41,8.14,2.81,4.24,1.28
115,Aaron Civale,MIL,26,26,141,600,8,8,12,0,0,,137,73,68,23,,6,131,43,8.35,2.72,4.35,1.28
116,Lance Lynn,,26,26,143,615,8,9,12,0,0,,141,75,70,22,,6,132,49,8.31,3.08,4.41,1.33
117,Zack Littell,TBR,23,38,139,583,8,8,10,0,1,,140,69,64,21,,5,120,32,7.76,2.07,4.16,1.24
118,Kris Bubic,KCR,18,42,115,494,7,6,8,0,1,,111,56,52,13,,4,109,41,8.57,3.2,4.06,1.32
119,Edward Cabrera,MIA,23,38,129,554,7,8,10,0,1,,113,64,60,16,,7,138,61,9.63,4.25,4.15,1.35
120,Max Meyer,MIA,23,35,127,548,7,8,10,0,1,,128,65,60,17,,5,112,44,7.91,3.1,4.28,1.35
121,Ryan Weathers,MIA,24,34,139,600,7,9,11,0,1,,137,71,66,18,,6,122,51,7.93,3.31,4.28,1.36
122,Chris Paddack,MIN,16,55,124,528,7,6,7,0,1,,126,63,58,17,,3,115,31,8.31,2.27,4.21,1.27
123,David Festa,MIN,16,42,106,452,6,6,7,0,1,,97,51,47,13,,4,111,39,9.42,3.31,3.99,1.28
124,Spencer Arrighetti,HOU,26,26,138,597,9,9,13,0,0,,125,71,66,20,,8,145,59,9.43,3.87,4.32,1.33
125,Kyle Harrison,SFG,26,26,136,582,8,8,13,0,0,,124,67,62,18,,8,138,51,9.15,3.35,4.1,1.28
126,Davis Martin,CHW,24,24,123,536,6,8,11,0,0,,123,66,62,17,,7,108,46,7.87,3.34,4.51,1.37
127,Justin Verlander,SFG,24,24,137,582,8,9,12,0,0,,138,68,64,18,,5,110,37,7.2,2.46,4.18,1.28
128,Dean Kremer,BAL,24,24,130,556,8,8,12,0,0,,127,66,61,18,,4,115,44,7.96,3.02,4.21,1.31
129,Charlie Morton,BAL,28,28,154,669,9,9,14,0,0,,145,80,74,21,,13,153,61,8.92,3.57,4.29,1.34
130,Lucas Giolito,BOS,18,36,118,504,7,7,8,0,1,,114,62,57,17,,4,119,41,9.08,3.14,4.39,1.32
131,Kyle Freeland,COL,28,28,150,659,7,11,11,0,0,,172,90,84,25,,5,109,41,6.5,2.48,5.04,1.42
132,Tyler Anderson,LAA,29,29,169,731,9,12,13,0,0,,171,93,87,26,,7,136,61,7.27,3.27,4.62,1.37
