#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
381,Ryan Borucki,PIT,0,37,37,162,2,2,0,0,1,,34,19,17,4,,3,37,16,8.94,3.93,4.2,1.37
382,A.J. Blubaugh,HOU,0,10,10,43,1,1,0,0,1,,10,5,5,1,,0,9,4,8.22,3.25,4.17,1.32
383,Albert Abreu,CIN,0,15,15,66,1,1,0,0,1,,14,8,8,2,,1,15,7,9.02,4.23,4.5,1.43
384,Justin Wrobleski,LAD,0,33,33,141,2,2,0,0,1,,32,17,16,5,,1,29,11,8.04,3.12,4.38,1.32
385,Matt Canterino,MIN,0,12,12,52,1,1,0,0,1,,11,6,6,2,,0,13,5,9.41,4.02,4.29,1.36
386,Jonathan Bowlan,KCR,0,31,31,135,2,2,0,0,1,,32,17,15,4,,2,24,10,7.05,2.91,4.46,1.37
387,Peter Strzelecki,PIT,0,30,30,131,1,1,0,0,1,,30,16,15,4,,2,27,12,8,3.6,4.48,1.38
388,Alex Cornwell,STL,0,8,8,35,0,0,0,0,1,,8,4,4,1,,0,6,2,6.39,2.71,4.13,1.35
389,Connor Phillips,CIN,0,32,32,142,2,2,0,0,1,,30,18,17,5,,2,33,16,9.29,4.39,4.73,1.44
390,Jake Woodford,COL,0,8,8,35,0,0,0,0,1,,9,5,4,1,,0,6,2,6.74,2.72,4.79,1.4
391,Taylor Clarke,KCR,0,10,10,44,0,1,0,0,1,,11,5,5,1,,0,8,3,7.31,2.75,4.51,1.37
392,Eric Orze,TBR,0,41,41,177,2,2,0,0,1,,37,20,18,5,,2,42,18,9.3,4.03,4.06,1.34
393,José Cisnero,,0,30,30,131,1,2,0,0,0,,28,15,14,4,,2,31,13,9.23,4.01,4.34,1.38
394,Jacob Lopez,ATH,0,36,36,155,2,2,0,0,1,,33,18,16,5,,2,35,15,8.73,3.77,4.07,1.33
395,Hunter Dobbins,BOS,0,21,21,91,1,1,0,0,1,,22,11,10,3,,1,16,7,7,2.99,4.45,1.37
396,Zach Pop,TOR,0,44,44,191,2,2,0,0,1,,44,23,21,5,,3,35,16,7.1,3.26,4.27,1.36
397,Cole Sulser,TBR,0,44,44,190,3,2,0,0,1,,41,22,21,6,,1,42,19,8.5,3.84,4.23,1.37
398,J.B. Wendelken,SDP,0,26,26,111,1,1,0,0,1,,25,13,12,3,,1,23,11,8.13,3.71,4.15,1.36
399,Sem Robberse,STL,0,21,21,90,1,1,0,0,1,,21,11,10,3,,1,17,7,7.27,2.92,4.19,1.31
400,Adrian Houser,TEX,0,17,17,73,1,1,0,0,1,,17,9,9,2,,1,12,6,6.59,3.19,4.51,1.37
