#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
338,Jacob Stallings,COL,75,260,294,58,39,13,0,6,25,33,28,0,68,5,1,1,0,0,0.224
339,Jarred Kelenic,ATL,42,164,182,41,25,9,1,6,21,24,16,1,52,1,1,0,4,2,0.248
340,Starling Marte,NYM,63,248,273,66,48,11,1,5,35,30,17,1,58,6,1,1,12,2,0.265
341,Luis Torrens,NYM,40,146,160,34,22,7,0,5,16,19,11,0,42,1,2,0,1,1,0.231
342,Brett Wisely,SFG,34,132,147,32,22,7,1,3,18,16,12,0,33,1,1,1,3,2,0.246
343,Brooks Baldwin,CHW,45,180,196,45,32,8,0,4,21,21,13,0,44,1,0,1,5,1,0.248
344,Coby Mayo,BAL,28,107,119,25,15,6,0,4,15,17,10,0,33,2,1,0,1,1,0.239
345,Spencer Torkelson,DET,47,178,203,41,22,10,0,8,27,26,21,0,54,2,2,0,1,0,0.228
346,Alan Roden,TOR,28,105,119,27,19,5,1,2,14,14,11,0,19,3,1,0,2,0,0.256
347,Amed Rosario,WSN,49,199,210,53,39,9,3,3,23,21,8,0,39,1,1,0,6,1,0.267
348,Santiago Espinal,CIN,47,185,203,48,36,9,0,3,20,21,14,1,29,1,1,2,4,1,0.259
349,J.D. Martinez,,86,330,371,78,45,19,1,13,41,47,35,1,108,3,3,0,0,0,0.237
350,Jake Mangum,TBR,28,112,119,30,21,6,1,1,14,14,5,0,23,2,1,0,3,1,0.27
351,Michael A. Taylor,CHW,39,152,168,34,24,5,0,4,19,15,12,0,53,1,1,1,5,1,0.221
352,Johnathan Rodriguez,CLE,32,126,140,32,21,6,1,5,16,19,12,0,42,1,1,0,1,1,0.25
353,Colby Thomas,ATH,28,110,119,26,14,7,1,4,13,16,6,0,35,2,1,0,2,1,0.235
354,Thomas Saggese,STL,49,195,210,47,32,9,1,5,25,26,10,0,54,4,1,0,3,1,0.244
355,Victor Scott II,STL,63,246,273,55,41,8,3,4,30,24,17,0,54,4,3,4,16,3,0.223
356,Chandler Simpson,TBR,23,90,98,26,22,3,0,0,14,8,6,0,10,0,0,2,10,2,0.292
357,Cole Young,SEA,34,130,147,30,21,6,1,2,17,15,13,0,28,2,1,1,3,2,0.229
358,Justyn-Henry Malloy,DET,36,131,154,30,20,6,0,4,17,16,20,0,45,2,1,0,1,1,0.232
359,Hyeseong Kim,LAD,91,353,392,76,51,15,1,9,41,38,30,0,101,4,3,2,7,2,0.217
360,Jhonny Pereda,ATH,28,98,109,24,18,5,0,1,10,9,10,0,23,0,0,0,0,0,0.249
361,Addison Barger,TOR,26,101,112,25,15,6,0,3,13,14,9,0,27,1,0,0,1,0,0.243
362,Ezequiel Duran,TEX,39,157,168,39,25,8,1,4,19,19,9,0,42,1,1,0,3,1,0.246
363,Griffin Conine,MIA,75,289,322,66,41,12,1,11,34,41,28,1,113,3,1,0,0,0,0.227
364,Korey Lee,CHW,47,175,186,40,26,8,0,5,21,19,10,0,55,1,0,0,3,1,0.227
365,Angel Martínez,CLE,29,113,126,27,18,6,1,2,13,13,10,0,26,2,1,1,2,1,0.235
