#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
312,Drew Smyly,,1,42,50.1,216,2,3,0,0,0,,48,28,26,8,1,2,48,18,8.65,3.19,4.57,1.3
313,Kyle Nelson,ARI,0,20,25.1,108,1,1,0,0,1,,23,13,12,3,1,1,25,10,8.84,3.44,4.25,1.3
314,Gus Varland,CHW,0,53,66.2,291,2,2,0,2,11,,64,36,33,9,2,4,63,28,8.45,3.71,4.49,1.38
315,Hunter Dobbins,BOS,0,11,13.2,58,0,0,0,0,0,,13,7,6,1,0,1,12,5,8.16,3.2,4.06,1.31
316,Josh Walker,TOR,0,23,28.1,120,1,1,0,0,1,,25,14,13,4,1,1,28,11,9.05,3.52,4.13,1.28
317,Collin Snider,SEA,0,56,70.1,305,2,2,0,1,12,,65,37,34,9,2,4,67,29,8.56,3.75,4.36,1.35
318,Chase Shugart,BOS,0,13,16.2,72,0,0,0,0,1,,16,9,8,2,0,1,15,6,8.03,3.06,4.33,1.33
319,Jacob Webb,TEX,0,61,76.1,327,2,2,0,4,15,,67,40,37,11,2,4,76,31,8.99,3.64,4.38,1.29
320,Dillon Tate,,0,35,44.1,189,2,2,0,0,0,,43,22,21,5,1,3,33,13,6.73,2.67,4.23,1.28
321,JT Chargois,,0,44,55,236,2,3,0,0,0,,51,28,26,7,1,3,48,21,7.87,3.42,4.32,1.3
322,Lou Trivino,,0,27,33,144,1,2,0,0,1,,32,18,16,4,1,2,31,14,8.35,3.74,4.48,1.38
323,Tommy Nance,TOR,0,39,48.1,209,1,1,0,0,7,,45,25,24,6,1,3,45,20,8.47,3.79,4.4,1.35
324,Matt Gage,DET,0,18,22,96,1,1,0,0,1,,21,11,11,2,1,1,21,9,8.67,3.75,4.29,1.37
325,Grant Wolfram,MIL,0,15,19.1,82,1,0,0,0,0,,16,9,8,2,1,1,20,9,9.59,4.11,3.88,1.29
326,Shelby Miller,,0,44,54.2,235,2,3,0,1,0,,48,29,27,8,1,3,55,23,9.04,3.72,4.46,1.3
327,Josh Staumont,,0,29,36.1,158,2,2,0,0,0,,31,19,17,4,1,2,36,18,8.91,4.46,4.32,1.36
328,Jesus Tinoco,MIA,0,59,74,321,2,2,0,10,10,,68,38,36,10,2,4,73,32,8.92,3.84,4.32,1.35
329,Will Klein,SEA,0,25,31.2,138,1,1,0,0,1,,26,15,14,3,1,2,34,17,9.49,4.93,4.07,1.38
330,Parker Mushinski,CLE,0,19,24,103,1,1,0,0,0,,22,11,11,2,1,1,21,9,7.87,3.45,4.01,1.31
