#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
101,Lars Nootbaar,STL,125,463,539,116,73,23,3,18,67,59,69,2,107,2,4,1,9,3,0.251
102,Jonathan India,KCR,139,518,602,136,89,29,3,15,75,63,63,2,112,16,5,0,11,3,0.262
103,Eugenio Suárez,ARI,141,539,609,128,76,26,1,25,72,80,55,1,170,9,6,0,2,1,0.238
104,Jasson Domínguez,NYY,134,517,581,128,81,24,2,20,74,72,57,2,153,2,5,0,28,4,0.247
105,Alec Bohm,PHI,143,564,616,156,105,33,2,17,73,74,41,2,97,5,6,0,6,2,0.276
106,Nolan Arenado,STL,152,602,658,153,102,30,1,20,67,71,46,1,100,4,5,0,3,1,0.253
107,Brandon Nimmo,NYM,134,504,581,125,80,23,4,18,81,68,64,2,128,10,3,1,7,3,0.248
108,Cedric Mullins,BAL,130,502,560,121,79,24,4,15,71,60,47,1,113,5,4,2,30,8,0.241
109,Max Muncy,LAD,126,460,546,99,53,19,1,25,73,79,75,2,140,6,4,0,2,1,0.214
110,Tyler O'Neill,BAL,110,420,476,101,56,20,1,25,61,72,47,2,145,6,3,0,7,2,0.242
111,Matt Shaw,CHC,120,464,518,115,76,20,4,16,66,56,42,1,115,7,4,0,21,6,0.249
112,Pete Crow-Armstrong,CHC,130,513,560,124,79,24,6,15,74,57,31,1,146,8,4,4,34,7,0.241
113,Luis Rengifo,LAA,134,530,581,139,97,23,4,16,72,60,40,1,96,6,4,1,26,8,0.263
114,Ryan Jeffers,MIN,100,356,403,88,51,18,1,17,50,55,34,1,93,8,3,2,3,1,0.248
115,Iván Herrera,STL,100,342,398,87,59,17,1,10,46,38,47,1,84,5,3,0,6,1,0.254
116,Randy Arozarena,SEA,152,567,658,135,83,28,2,22,82,79,69,2,171,17,5,0,24,10,0.237
117,Bryson Stott,PHI,139,542,602,138,97,26,2,12,70,58,51,1,102,4,6,0,27,5,0.254
118,Josh Jung,TEX,136,544,588,137,86,25,2,24,67,76,33,1,160,7,4,0,6,3,0.252
119,Ian Happ,CHC,156,584,672,140,84,31,2,23,83,81,78,2,165,6,4,0,12,4,0.241
120,Daulton Varsho,TOR,138,533,595,122,69,27,4,22,77,77,52,1,146,4,4,1,15,4,0.229
121,Taylor Ward,LAA,149,568,644,142,90,27,2,23,78,78,62,2,149,8,5,0,8,3,0.25
122,Logan O'Hoppe,LAA,115,413,461,100,64,17,1,19,54,57,38,1,118,7,3,0,4,2,0.243
123,Xavier Edwards,MIA,136,526,588,146,116,25,4,2,59,32,50,1,88,1,5,6,32,8,0.278
124,Jesús Sánchez,MIA,125,486,539,127,76,26,3,23,61,65,45,2,137,4,3,0,10,3,0.262
125,Ha-Seong Kim,TBR,100,378,434,93,64,18,2,9,51,41,47,1,76,3,3,3,20,5,0.246
126,Jackson Holliday,BAL,109,399,469,93,62,20,3,9,61,44,65,1,122,2,4,0,9,2,0.234
127,Bryan Reynolds,PIT,149,575,644,150,96,28,4,23,77,71,56,2,141,9,4,0,9,3,0.261
128,Christian Yelich,MIL,133,497,574,129,86,23,2,18,72,61,70,2,127,3,3,0,23,5,0.259
129,Cody Bellinger,NYY,141,551,609,135,86,26,2,21,73,76,49,1,108,3,6,0,12,3,0.245
130,Jackson Chourio,MIL,149,597,644,155,96,32,3,24,76,81,38,2,139,3,6,0,27,6,0.26
131,Brendan Donovan,STL,138,526,595,143,103,26,2,11,66,52,51,2,81,13,4,0,7,3,0.271
132,Bo Naylor,CLE,110,381,435,83,51,17,1,14,46,44,46,0,117,3,3,1,8,2,0.218
133,Jake Rogers,DET,97,348,384,75,45,14,1,14,39,42,29,0,115,3,3,1,2,1,0.215
134,Willi Castro,MIN,139,536,602,133,88,27,4,14,74,60,45,1,140,14,5,2,20,8,0.247
135,Colt Keith,DET,126,500,546,131,89,23,5,15,67,55,39,1,116,2,5,0,5,1,0.262
136,Ryan Mountcastle,BAL,123,487,532,130,80,26,1,22,66,76,37,2,125,3,5,0,4,1,0.267
137,Garrett Mitchell,MIL,110,420,476,102,62,19,3,17,59,55,47,1,141,4,3,1,22,5,0.242
138,Jordan Walker,STL,131,517,567,136,83,31,3,19,67,69,39,2,131,6,5,0,8,2,0.264
139,Wilyer Abreu,BOS,110,416,476,104,60,25,1,18,59,63,53,1,127,2,4,0,10,3,0.25
140,Luke Raley,SEA,112,427,483,102,59,19,2,22,62,67,33,2,144,19,3,1,12,4,0.238
141,Jo Adell,LAA,112,436,483,105,55,22,2,25,62,75,36,1,142,6,4,0,15,6,0.24
142,Heliot Ramos,SFG,139,549,602,139,85,28,3,24,73,77,43,2,163,5,4,0,7,2,0.254
143,Geraldo Perdomo,ARI,131,486,567,118,85,24,4,6,68,43,60,0,94,6,5,10,13,4,0.244
144,Brandon Marsh,PHI,125,475,539,117,76,21,4,16,73,59,55,1,166,4,4,1,16,4,0.247
145,Jorge Soler,LAA,133,501,574,120,64,26,1,30,72,88,64,2,146,6,4,0,1,0,0.239
146,Brenton Doyle,COL,154,611,665,150,96,27,5,22,69,64,41,0,189,4,6,3,27,6,0.245
147,Joc Pederson,TEX,105,392,455,99,58,18,2,22,61,63,49,2,105,10,3,0,4,3,0.252
148,Vinnie Pasquantino,KCR,146,560,630,148,91,34,2,21,77,78,57,2,80,5,7,1,3,1,0.265
