#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
178,Joey Cantillo,CLE,13,39,83,360,5,5,,0,1,,74,41,38,11,,3,86,40,9.31,4.29,4.08,1.36
179,Bubba Chandler,PIT,16,16,75,329,5,6,,0,0,,74,40,38,10,,5,65,29,7.77,3.52,4.5,1.37
180,Hayden Wesneski,HOU,13,57,113,475,6,8,,0,1,,105,60,55,18,,5,105,38,8.4,3,4.4,1.27
181,Chris Flexen,,16,16,84,375,3,6,,0,0,,92,50,47,12,,2,65,32,6.97,3.42,4.96,1.47
182,Trevor Williams,WSN,18,49,118,516,5,7,,0,1,,126,66,60,18,,4,93,40,7.14,3.05,4.62,1.41
183,Kyle Hart,,19,19,78,348,0,0,,0,0,,79,45,42,12,,4,70,29,8.1,3.39,4.88,1.4
184,Tomoyuki Sugano,BAL,23,33,101,453,0,0,,0,1,,102,58,55,16,,5,91,39,8.14,3.46,4.89,1.4
185,Bryse Wilson,CHW,13,45,110,469,4,6,,0,1,,114,62,57,17,,4,78,33,6.36,2.7,4.7,1.34
186,Paul Blackburn,NYM,13,49,101,441,6,6,,0,1,,104,56,52,13,,3,79,35,7.02,3.16,4.65,1.38
187,Chase Dollander,COL,16,16,80,353,2,4,,0,0,,79,48,44,13,,10,74,32,8.33,3.58,5,1.39
188,Hayden Birdsong,SFG,18,40,98,425,6,7,,0,1,,87,53,49,13,,8,101,46,9.29,4.26,4.49,1.36
189,Patrick Corbin,,24,24,127,580,6,10,,0,0,,152,83,77,21,,3,100,45,7.07,3.17,5.41,1.55
190,Michael Lorenzen,KCR,18,58,132,561,6,7,,0,1,,125,71,65,18,,4,98,54,6.65,3.68,4.45,1.35
191,Cal Quantrill,,24,24,131,575,7,9,,0,0,,137,75,69,18,,9,92,50,6.32,3.46,4.79,1.43
192,Adam Mazur,MIA,13,34,83,361,4,7,,0,1,,89,47,43,12,,1,63,27,6.83,2.93,4.72,1.4
193,Bryce Elder,ATL,6,21,51,219,4,3,,0,1,,50,25,24,6,,2,43,18,7.63,3.1,4.16,1.32
194,Jack Leiter,TEX,18,42,109,480,5,8,,0,1,,100,66,62,17,,8,111,50,9.16,4.15,5.11,1.38
195,Anthony DeSclafani,,15,15,79,345,4,5,,0,0,,86,45,42,13,,2,62,24,6.99,2.68,4.77,1.38
196,Caden Dana,LAA,13,13,67,289,4,5,,0,0,,66,39,36,11,,4,57,25,7.69,3.34,4.86,1.35
197,Andrew Painter,PHI,11,19,54,236,3,3,,0,1,,50,31,28,9,,3,58,23,9.52,3.87,4.71,1.35
198,Trevor Rogers,BAL,6,30,56,245,3,3,,0,1,,56,29,27,6,,2,48,21,7.71,3.42,4.29,1.38
199,Kyle Hendricks,LAA,24,24,122,536,5,9,,0,0,,139,78,73,22,,5,86,37,6.35,2.73,5.38,1.45
200,Tyler Alexander,,10,10,58,245,3,4,,0,0,,61,32,30,11,,2,46,12,7.12,1.88,4.62,1.25
#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
201,Jack Kochanowicz,LAA,15,29,96,420,5,7,,0,1,,106,57,53,13,,8,52,26,4.84,2.45,4.97,1.38
202,Noah Schultz,CHW,8,8,32,140,1,1,,0,0,,31,18,17,4,,4,30,11,8.21,2.97,4.63,1.28
203,J.T. Ginn,ATH,13,37,90,395,4,6,,0,1,,92,50,46,11,,8,66,31,6.65,3.09,4.59,1.36
204,Jackson Jobe,DET,18,33,86,371,3,4,,0,1,,85,48,44,13,,3,67,32,7.02,3.38,4.62,1.36
205,Robby Snelling,MIA,11,11,52,229,3,4,,0,0,,56,30,27,7,,1,38,20,6.67,3.54,4.78,1.47
206,Wade Miley,CIN,10,10,50,218,2,4,,0,0,,55,31,28,7,,1,31,19,5.51,3.35,5.08,1.46
207,Omar Cruz,SDP,11,30,87,383,4,6,,0,1,,81,48,45,12,,9,78,39,8.12,4,4.6,1.37
208,Osvaldo Bido,ATH,8,49,83,361,5,5,,0,1,,76,44,41,9,,9,77,35,8.32,3.83,4.39,1.34
209,Logan Allen,CLE,6,6,33,142,2,2,,0,0,,32,17,16,5,,1,28,13,7.78,3.45,4.26,1.37
210,Hagen Smith,CHW,6,6,26,116,0,0,,0,0,,26,15,14,4,,1,23,10,8.1,3.39,4.88,1.4
211,Valente Bellozo,MIA,15,41,105,457,4,7,,0,1,,114,60,56,17,,3,75,35,6.4,3.01,4.78,1.42
212,Noah Syndergaard,,8,8,32,145,0,0,,0,0,,33,19,18,5,,2,29,12,8.1,3.39,4.88,1.4
213,Nick Nastrini,CHW,13,28,74,334,3,7,,0,1,,73,47,43,11,,3,67,42,8.08,5.08,5.25,1.55
214,Patrick Sandoval,BOS,2,10,16,72,1,1,,0,1,,16,8,7,1,,1,16,7,8.54,3.71,3.88,1.37
215,Joey Estes,ATH,24,24,131,550,7,10,,0,0,,131,76,71,23,,11,97,33,6.66,2.26,4.89,1.25
216,Brandon Sproat,NYM,3,3,14,62,1,1,,0,0,,14,7,7,2,,0,13,6,7.84,3.49,4.27,1.34
217,Tink Hence,STL,3,3,13,55,1,1,,0,0,,12,7,6,2,,0,11,4,7.57,3.1,4.19,1.31
218,Griffin Canning,NYM,10,52,96,414,5,6,,0,1,,94,58,54,16,,3,84,36,7.91,3.41,5.01,1.36
219,Mason Adams,CHW,3,3,17,76,1,1,,0,0,,19,10,9,3,,2,12,5,6.47,2.5,4.92,1.35
220,Ian Seymour,TBR,5,24,43,185,2,2,,0,1,,41,23,21,6,,4,38,15,7.96,3.21,4.5,1.32
221,Carson Palmquist,COL,3,3,14,61,1,1,,0,0,,14,8,8,2,,1,13,6,8.5,4.07,4.96,1.45
222,Alek Manoah,TOR,2,10,16,69,1,1,,0,1,,14,8,8,2,,2,15,6,8.23,3.42,4.16,1.25
223,Thomas Harrington,PIT,2,2,8,35,0,0,,0,0,,8,4,4,1,,0,6,2,7.09,2.42,4.35,1.31
224,Chase Hampton,NYY,2,2,8,33,0,0,,0,0,,7,4,4,1,,0,7,3,7.99,3.11,4.57,1.3
225,Ky Bush,CHW,3,15,29,128,1,2,,0,1,,30,17,16,4,,1,21,13,6.71,4.17,4.98,1.52
226,Sam Aldegheri,LAA,3,3,15,68,1,2,,0,0,,15,9,9,2,,1,13,7,7.74,4.05,5.04,1.46
227,Ryan Bergert,SDP,5,5,21,93,1,1,,0,0,,22,12,12,3,,1,16,8,6.8,3.55,4.87,1.42
228,Mason Barnett,ATH,2,2,8,36,0,1,,0,0,,8,4,4,1,,1,7,3,7.99,3.5,4.49,1.34
229,Drue Hackenberg,ATL,2,2,8,34,0,0,,0,0,,7,4,4,1,,1,7,4,7.83,4.23,4.63,1.45
230,Jake Bloss,TOR,5,22,37,160,2,2,,0,1,,37,21,19,6,,1,30,15,7.23,3.57,4.73,1.4
231,Hunter Barco,PIT,2,2,6,29,0,0,,0,0,,7,4,4,1,,0,6,2,8.1,3.39,4.88,1.4
232,Jonathan Pintaro,NYM,2,2,7,33,0,1,,0,0,,7,4,4,1,,1,6,3,7.06,3.6,4.85,1.4
233,Emerson Hancock,SEA,6,20,47,202,3,3,,0,1,,47,26,24,7,,3,33,16,6.36,3.07,4.57,1.36
234,Emiliano Teodo,TEX,2,2,7,31,0,0,,0,0,,6,4,4,1,,0,6,4,8.55,5.06,5.18,1.49
235,Gunnar Hoglund,ATH,6,39,66,282,4,5,,0,1,,69,38,35,10,,4,46,18,6.33,2.53,4.81,1.33
236,Josiah Gray,WSN,2,10,17,72,1,1,,0,1,,16,10,9,3,,1,15,7,8.22,3.71,4.91,1.36
237,Casey Lawrence,SEA,2,10,18,77,1,1,,0,1,,20,10,10,3,,1,11,4,5.47,2.22,4.88,1.39
238,Triston McKenzie,CLE,19,41,118,521,6,8,,0,1,,112,68,62,21,,2,110,66,8.41,5.01,4.77,1.51
