#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
34,Freddy Peralta,MIL,31,31,177,740,13,9,18,0,0,,146,77,71,24,,8,199,63,10.12,3.21,3.6,1.18,26.89189189,8.513513514
35,Mitch Keller,PIT,31,31,181,771,11,10,16,0,0,,181,89,82,21,,8,167,53,8.34,2.65,4.06,1.29,21.66018158,6.874189364
36,Tanner Houck,BOS,29,39,180,766,8,7,16,0,1,,177,85,78,18,,8,161,57,8.03,2.84,3.9,1.3,21.01827676,7.441253264
37,Nathan Eovaldi,TEX,29,29,177,738,11,9,16,0,0,,159,80,74,22,,7,170,52,8.65,2.66,3.75,1.19,23.03523035,7.046070461
38,Seth Lugo,KCR,31,31,189,805,11,10,17,0,0,,188,93,85,23,,8,167,52,7.99,2.47,4.05,1.27,20.74534161,6.459627329
39,Michael King,SDP,31,31,179,749,12,10,17,0,0,,159,83,76,22,,8,186,62,9.39,3.12,3.82,1.24,24.83311081,8.277703605
40,Brady Singer,CIN,29,29,171,734,10,10,15,0,0,,173,89,81,23,,7,159,50,8.38,2.65,4.27,1.31,21.66212534,6.811989101
41,Brayan Bello,BOS,29,29,168,721,11,10,15,0,0,,166,82,75,17,,8,158,59,8.46,3.16,4.03,1.34,21.91400832,8.183079057
42,Luis Castillo,SEA,31,31,183,762,13,9,18,0,0,,154,77,71,23,,8,190,55,9.36,2.72,3.48,1.15,24.9343832,7.217847769
43,Spencer Schwellenbach,ATL,29,29,173,720,12,9,16,0,0,,160,79,72,21,,7,164,48,8.53,2.47,3.75,1.2,22.77777778,6.666666667
44,Zach Eflin,BAL,29,29,177,735,11,10,16,0,0,,175,84,77,23,,7,148,32,7.54,1.65,3.92,1.17,20.13605442,4.353741497
45,Jared Jones,PIT,28,36,164,693,8,7,16,0,1,,147,74,67,18,,7,167,58,9.15,3.19,3.68,1.25,24.0981241,8.369408369
46,Shota Imanaga,CHC,29,29,181,744,11,9,16,0,0,,168,85,78,26,,7,173,40,8.62,1.97,3.88,1.15,23.25268817,5.376344086
47,Jack Flaherty,DET,29,29,171,721,11,9,16,0,0,,154,80,73,23,,7,187,56,9.83,2.93,3.85,1.23,25.93619972,7.766990291
