#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
81,Jose Berrios,TOR,30,30,185.1,779,12,11,14,0,0,0,179,94,87,28,1,10,160,52,7.77,2.51,4.22,1.24,20.53915276,6.675224647
82,Shane Baz,TBR,24,31,140.2,589,8,7,10,0,0,0,124,68,62,19,1,7,134,49,8.58,3.17,3.98,1.23,22.75042445,8.319185059
83,David Peterson,NYM,24,28,138.2,596,9,7,10,0,1,0,132,64,59,15,2,7,129,54,8.37,3.48,3.82,1.34,21.6442953,9.060402685
84,Max Scherzer,TOR,19,21,109,445,7,6,9,0,0,0,95,51,47,17,0,5,114,29,9.45,2.36,3.87,1.13,25.61797753,6.516853933
85,Alex Cobb,DET,21,21,115,486,6,6,8,0,0,0,114,53,49,11,0,4,95,32,7.45,2.54,3.83,1.28,19.5473251,6.58436214
86,Yu Darvish,SDP,24,24,141,584,9,8,10,0,0,0,128,70,64,21,1,7,136,39,8.7,2.49,4.12,1.19,23.28767123,6.678082192
87,Luis Gil,NYY,27,31,146.2,623,11,8,10,0,0,0,119,73,67,20,2,7,162,71,9.95,4.34,4.09,1.29,26.00321027,11.3964687
88,Kutter Crawford,BOS,23,39,150.1,626,8,10,9,0,1,0,138,80,73,25,2,6,145,43,8.7,2.59,4.4,1.21,23.1629393,6.869009585
89,Justin Verlander,SFG,22,22,125.1,527,8,8,9,0,0,0,123,64,59,18,0,5,106,34,7.62,2.45,4.24,1.25,20.11385199,6.451612903
90,Jon Gray,TEX,24,32,139.2,589,8,8,9,0,0,0,134,72,67,20,1,5,125,43,8.08,2.8,4.3,1.27,21.22241087,7.300509338
91,Matthew Boyd,CHC,19,23,103.1,432,6,5,6,0,0,0,93,49,45,14,2,5,107,33,9.33,2.86,3.94,1.22,24.76851852,7.638888889
92,Jeffrey Springs,ATH,25,29,137,567,8,7,10,0,0,0,125,63,58,20,1,4,137,39,9.03,2.58,3.83,1.2,24.1622575,6.878306878
93,Ryan Feltner,COL,29,29,158.1,689,6,11,10,0,0,0,164,93,86,22,1,7,135,57,7.67,3.25,4.88,1.4,19.59361393,8.272859216
94,Jameson Taillon,CHC,28,28,166.2,696,11,10,11,0,0,0,166,87,80,25,1,5,133,39,7.16,2.12,4.34,1.23,19.1091954,5.603448276
95,Merrill Kelly,ARI,26,26,153.2,646,10,8,11,0,0,0,145,77,70,21,1,5,141,49,8.27,2.88,4.12,1.26,21.82662539,7.585139319
96,Casey Mize,DET,25,25,136.2,583,6,8,9,0,0,0,140,70,65,17,1,6,109,39,7.16,2.58,4.25,1.31,18.69639794,6.689536878
97,Frankie Montas,NYM,26,26,142.2,609,9,9,9,0,0,0,134,74,68,19,1,5,136,54,8.58,3.43,4.3,1.32,22.3316913,8.866995074
98,Kyle Harrison,SFG,26,26,140.1,596,8,8,10,0,0,0,128,70,64,19,1,8,142,52,9.13,3.36,4.13,1.28,23.82550336,8.724832215
99,Mitchell Parker,WSN,26,32,146.1,623,7,9,9,0,0,0,141,75,69,19,1,4,131,51,8.04,3.15,4.26,1.32,21.02728732,8.186195827
100,Aaron Civale,MIL,26,26,145.1,614,8,8,9,0,0,0,142,77,71,23,1,6,135,43,8.38,2.66,4.39,1.27,21.98697068,7.003257329
101,Eduardo Rodriguez,ARI,23,28,133,563,9,8,9,0,0,0,128,65,60,17,1,4,122,44,8.27,2.95,4.05,1.29,21.669627,7.815275311
102,DJ Herz,WSN,24,38,134,575,7,10,7,0,1,0,112,66,61,17,1,6,150,66,10.1,4.42,4.1,1.33,26.08695652,11.47826087
103,David Festa,MIN,17,30,102.2,432,6,6,6,0,1,0,93,49,45,13,1,4,110,37,9.62,3.21,3.96,1.26,25.46296296,8.564814815
104,Andrew Abbott,CIN,26,26,147.2,633,9,10,9,0,0,0,143,81,74,26,1,4,139,55,8.45,3.37,4.51,1.34,21.95892575,8.68878357
105,German Marquez,COL,23,23,130.1,562,6,9,8,0,0,0,136,76,70,20,1,4,108,44,7.49,3.01,4.85,1.38,19.21708185,7.829181495
106,Zack Littell,TBR,23,32,135,564,7,8,8,0,1,0,137,68,63,21,2,5,116,29,7.73,1.94,4.18,1.23,20.56737589,5.141843972
107,Spencer Arrighetti,HOU,26,26,140.2,602,8,9,9,0,0,0,127,75,69,20,1,7,150,58,9.61,3.7,4.41,1.31,24.91694352,9.634551495
108,Reid Detmers,LAA,20,30,119.1,506,6,8,7,0,1,0,109,62,57,18,1,6,132,44,9.99,3.31,4.3,1.28,26.08695652,8.695652174
109,Shane Bieber,CLE,14,19,85.1,352,5,4,7,0,1,0,80,37,34,10,0,2,84,21,8.84,2.2,3.58,1.18,23.86363636,5.965909091
110,Andre Pallante,STL,22,34,138,600,8,8,9,0,1,1,138,67,61,11,2,5,101,55,6.59,3.59,4.01,1.4,16.83333333,9.166666667
111,Rhett Lowder,CIN,18,31,110,471,6,6,6,0,1,0,110,57,52,15,1,4,91,36,7.48,2.92,4.28,1.32,19.32059448,7.643312102
112,Bowden Francis,TOR,23,31,140.1,579,10,8,9,0,0,0,127,71,65,24,1,7,131,37,8.37,2.36,4.16,1.17,22.62521589,6.390328152
113,Tobias Myers,MIL,25,25,136.1,576,8,7,9,0,0,0,133,71,65,22,1,5,124,41,8.18,2.73,4.29,1.28,21.52777778,7.118055556
114,Edward Cabrera,MIA,23,30,126.2,545,7,8,7,0,0,0,108,64,59,15,1,7,136,62,9.66,4.4,4.18,1.34,24.95412844,11.37614679
115,Ronel Blanco,HOU,28,29,162.1,686,10,8,11,0,0,2,141,81,74,25,3,5,160,68,8.89,3.76,4.13,1.28,23.32361516,9.912536443
116,Jake Irvin,WSN,28,28,163.2,693,8,10,11,0,0,0,158,88,81,24,1,7,136,52,7.46,2.86,4.44,1.28,19.62481962,7.503607504
117,Andrew Heaney,,23,24,121.2,516,6,8,7,0,0,0,117,64,59,19,1,7,118,37,8.72,2.74,4.35,1.27,22.86821705,7.170542636
118,Tyler Mahle,TEX,22,22,123.2,518,6,7,8,0,0,0,114,64,59,18,0,5,114,39,8.33,2.86,4.27,1.24,22.00772201,7.528957529
119,Kyle Gibson,,25,26,139.1,603,8,8,10,0,0,0,141,75,69,19,1,5,118,50,7.64,3.25,4.44,1.37,19.56882255,8.291873964
120,Clayton Kershaw,,14,15,76,316,6,4,6,0,0,0,71,33,31,9,1,3,70,21,8.34,2.52,3.64,1.21,22.15189873,6.64556962
121,Ryan Weathers,MIA,25,29,140,600,7,10,9,0,0,0,136,72,66,20,2,7,126,48,8.08,3.09,4.23,1.32,21,8
122,Kyle Freeland,COL,27,27,150.2,657,7,11,10,0,0,0,172,93,86,25,1,5,109,42,6.53,2.49,5.11,1.42,16.59056317,6.392694064
123,Tyler Anderson,LAA,29,29,171.1,737,9,11,11,0,0,0,169,95,88,26,1,7,137,64,7.21,3.35,4.61,1.36,18.58887381,8.68385346
124,Dean Kremer,BAL,26,26,147.2,626,9,8,10,0,0,0,141,77,71,22,1,5,130,50,7.93,3.05,4.31,1.3,20.76677316,7.987220447
125,Kris Bubic,KCR,15,32,99.2,426,5,6,6,0,2,1,99,51,46,12,3,4,95,34,8.6,3.03,4.2,1.33,22.30046948,7.981220657
126,Simeon Woods Richardson,MIN,24,25,122.2,525,6,6,7,0,0,0,117,67,61,17,1,4,104,46,7.66,3.36,4.5,1.33,19.80952381,8.761904762
127,Chris Paddack,MIN,15,35,102,428,6,5,5,0,1,0,104,54,49,15,1,3,92,25,8.09,2.2,4.36,1.26,21.4953271,5.841121495
128,Cody Bradford,TEX,13,40,100.1,410,7,5,5,0,2,0,94,50,46,15,1,3,91,21,8.13,1.86,4.13,1.15,22.19512195,5.12195122
129,Luis Severino,ATH,29,29,168.1,717,8,11,12,0,0,0,163,89,82,25,1,8,148,56,7.89,2.99,4.38,1.3,20.64156206,7.810320781
130,Jordan Hicks,SFG,21,36,121.2,530,7,8,7,1,1,1,116,61,56,12,1,7,109,53,8.09,3.96,4.15,1.39,20.56603774,10
