#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
777,Cameron Foster,NYM,11,24,67,302,3,4,,0,0,,71,41,38,10,0,2,50,30,6.72,4.03,5.1,1.51
778,Ben Kudrna,KCR,21,22,102,461,5,8,,0,0,,111,64,59,16,0,4,70,45,6.18,3.97,5.21,1.53
779,Corbin Martin,BAL,6,25,54.1,244,3,3,,0,0,,56,32,30,7,0,2,44,27,7.29,4.48,4.97,1.53
780,Jacob Misiorowski,MIL,20,30,83.2,378,3,4,,0,0,,71,50,46,12,0,16,88,48,9.46,5.16,4.95,1.42
781,Matt Andriese,,6,19,52.1,237,3,5,,0,0,,64,31,29,9,0,2,36,15,6.2,2.58,4.99,1.51
782,Josimar Cousin,,5,24,39.1,171,1,1,,0,0,,43,24,22,7,0,1,29,13,6.64,2.98,5.04,1.42
783,Juan Hillman,,10,19,61.2,284,3,5,,0,0,,71,41,38,9,0,6,36,25,5.25,3.65,5.54,1.56
784,Drew Parrish,CIN,18,25,97.2,435,4,8,,0,0,,108,68,63,19,0,4,71,39,6.54,3.59,5.8,1.5
785,Nick Fraze,TOR,8,28,62.2,277,2,3,,0,0,,63,35,32,9,0,8,47,22,6.75,3.16,4.59,1.36
786,Antonio Jimenez,SFG,5,34,66.1,295,3,4,,0,0,,69,37,34,8,0,4,50,26,6.79,3.53,4.62,1.43
787,Blake Beers,ATH,21,25,122,535,7,9,,0,0,,126,71,66,19,0,12,89,42,6.57,3.1,4.87,1.38
788,Michael Mercado,PHI,11,33,71.2,319,3,4,,0,1,,72,45,42,12,0,4,63,33,7.91,4.14,5.27,1.46
789,Troy Miller,,8,10,30.2,140,1,1,,0,0,,33,18,17,5,0,0,23,15,6.74,4.4,4.98,1.56
790,Tyler Danish,,7,18,42.1,194,2,4,,0,0,,48,27,25,6,1,3,26,19,5.53,4.04,5.32,1.58
791,Devin Smeltzer,,12,25,78,344,4,6,,0,0,,84,48,44,12,0,5,53,29,6.12,3.35,5.08,1.45
792,Conner Greene,,5,27,46.1,211,3,4,,0,0,,46,26,24,6,0,3,41,24,7.97,4.67,4.67,1.51
793,Mitch Neunborn,PHI,13,25,73.2,333,4,7,,0,0,,79,48,44,12,0,4,56,33,6.84,4.03,5.37,1.52
794,Logan Clayton,ARI,17,25,88.2,402,5,5,,0,0,,99,50,46,12,0,4,54,35,5.48,3.55,4.67,1.51
795,Wilkel Hernandez,DET,22,24,97.2,437,4,6,,0,0,,105,61,56,15,0,6,65,39,5.99,3.59,5.16,1.47
796,Alex Santos II,HOU,10,12,48,218,4,6,,0,0,,49,28,26,7,0,2,36,25,6.75,4.69,4.88,1.54
797,Alec Gamboa,LAD,8,23,65.2,296,4,5,,0,0,,69,40,37,9,0,2,45,32,6.16,4.38,5.07,1.54
798,Tyler Beede,,6,20,40.1,186,2,3,,0,0,,40,24,22,5,1,4,35,22,7.82,4.91,4.91,1.54
799,Jeff Lindgren,,15,22,79.2,363,3,6,,0,0,,89,48,44,11,0,5,51,36,5.76,4.07,4.97,1.57
800,Adam Oller,MIA,14,21,78.1,352,3,6,,0,0,,83,50,46,13,0,3,64,37,7.36,4.25,5.29,1.53
801,Jaylen Nowlin,MIN,15,22,86.1,393,4,7,,0,0,,89,54,50,13,0,9,71,41,7.4,4.28,5.21,1.51
802,Yoniel Curet,TBR,24,25,104,472,6,8,,0,0,,96,64,59,14,0,14,98,59,8.48,5.11,5.11,1.49
803,Michael Darrell-Hicks,LAA,5,32,69,302,4,6,,0,0,,71,41,38,11,1,9,56,22,7.3,2.87,4.96,1.35
804,Paul Campbell,,10,13,46.2,209,2,5,,0,0,,51,29,27,8,0,4,35,18,6.75,3.47,5.2,1.48
805,Antoine Kelly,COL,7,31,52.2,244,1,2,,0,0,,50,32,30,7,0,6,50,33,8.54,5.64,5.12,1.57
806,Nate Peterson,MIL,13,23,78.1,349,4,7,,0,0,,81,48,44,14,0,1,64,35,7.36,4.02,5.06,1.48
807,Robert Gsellman,,4,16,34,151,1,2,,0,0,,36,21,19,5,0,3,24,13,6.35,3.44,5.03,1.44
808,Wilfredo Pereira,STL,13,26,91.1,405,4,6,,0,0,,98,55,51,13,0,5,58,35,5.72,3.45,5.03,1.46
